# LTspice Transient Simulation Results
# Generated by run_ltspice_verification.py
# Simulator: LTspice (actual execution via PyLTSpice)
# This is REAL simulator output, NOT analytical approximation
time_ms,V_in,V_out,I_in_mA
4.259108,1.000000,0.000014,-40.688488
4.299108,1.000000,0.000015,-40.688316
4.339108,1.000000,0.000015,-40.688141
4.379108,1.000000,0.000015,-40.687969
4.419108,1.000000,0.000016,-40.687798
4.459108,1.000000,0.000016,-40.687630
4.499108,1.000000,0.000017,-40.687458
4.539108,1.000000,0.000017,-40.687286
4.579108,1.000000,0.000017,-40.687115
4.619108,1.000000,0.000018,-40.686943
4.659108,1.000000,0.000018,-40.686771
4.699108,1.000000,0.000019,-40.686600
4.739108,1.000000,0.000019,-40.686428
4.779108,1.000000,0.000020,-40.686256
4.819108,1.000000,0.000020,-40.686085
4.859108,1.000000,0.000020,-40.685913
4.899108,1.000000,0.000021,-40.685741
4.939108,1.000000,0.000021,-40.685574
4.979108,1.000000,0.000022,-40.685402
5.000002,0.000000,0.000022,288.854309
5.000172,0.000000,0.000022,254.549347
5.002033,0.000000,0.000022,62.451763
5.004570,0.000000,0.000022,9.186794
5.007113,0.000000,0.000022,1.360376
5.009670,0.000000,0.000022,0.214874
5.012349,0.000000,0.000022,0.046829
5.015754,0.000000,0.000022,0.023296
5.023257,0.000000,0.000022,0.021449
5.056439,0.000000,0.000023,0.021449
5.096439,0.000000,0.000023,0.021449
5.136439,0.000000,0.000024,0.021448
5.176439,0.000000,0.000024,0.021448
5.216439,0.000000,0.000025,0.021447
5.256439,0.000000,0.000025,0.021447
5.296439,0.000000,0.000026,0.021446
5.336439,0.000000,0.000026,0.021446
5.376439,0.000000,0.000027,0.021445
5.416439,0.000000,0.000027,0.021445
5.456439,0.000000,0.000028,0.021444
5.496439,0.000000,0.000028,0.021444
5.536439,0.000000,0.000029,0.021443
5.576439,0.000000,0.000029,0.021443
5.616439,0.000000,0.000030,0.021442
5.656439,0.000000,0.000030,0.021442
5.696439,0.000000,0.000031,0.021441
5.736439,0.000000,0.000031,0.021441
5.776439,0.000000,0.000032,0.021440
5.816439,0.000000,0.000033,0.021440
5.856439,0.000000,0.000033,0.021439
5.896439,0.000000,0.000034,0.021439
5.936439,0.000000,0.000034,0.021438
5.976439,0.000000,0.000035,0.021438
6.016439,0.000000,0.000035,0.021437
6.056439,0.000000,0.000036,0.021437
6.096439,0.000000,0.000037,0.021436
6.136439,0.000000,0.000037,0.021436
6.176439,0.000000,0.000038,0.021435
6.216439,0.000000,0.000038,0.021435
6.256439,0.000000,0.000039,0.021435
6.296439,0.000000,0.000040,0.021434
6.336439,0.000000,0.000040,0.021434
6.376439,0.000000,0.000041,0.021433
6.416439,0.000000,0.000041,0.021433
6.456439,0.000000,0.000042,0.021432
6.496439,0.000000,0.000043,0.021432
6.536439,0.000000,0.000043,0.021431
6.576439,0.000000,0.000044,0.021431
6.616439,0.000000,0.000045,0.021430
6.656439,0.000000,0.000045,0.021430
6.696439,0.000000,0.000046,0.021429
6.736439,0.000000,0.000046,0.021429
6.776439,0.000000,0.000047,0.021428
6.816439,0.000000,0.000048,0.021428
6.856439,0.000000,0.000048,0.021427
6.896439,0.000000,0.000049,0.021427
6.936439,0.000000,0.000050,0.021427
6.976439,0.000000,0.000050,0.021426
7.016439,0.000000,0.000051,0.021426
7.056439,0.000000,0.000052,0.021425
7.096439,0.000000,0.000052,0.021425
7.136439,0.000000,0.000053,0.021424
7.176439,0.000000,0.000053,0.021424
7.216439,0.000000,0.000054,0.021423
7.256439,0.000000,0.000055,0.021423
7.296439,0.000000,0.000055,0.021422
7.336439,0.000000,0.000056,0.021422
7.376439,0.000000,0.000057,0.021422
7.416439,0.000000,0.000057,0.021421
7.456439,0.000000,0.000058,0.021421
7.496439,0.000000,0.000059,0.021420
7.536439,0.000000,0.000059,0.021420
7.576439,0.000000,0.000060,0.021419
7.616439,0.000000,0.000061,0.021419
7.656439,0.000000,0.000061,0.021418
7.696439,0.000000,0.000062,0.021418
7.736439,0.000000,0.000063,0.021417
7.776439,0.000000,0.000063,0.021417
7.816439,0.000000,0.000064,0.021417
7.856439,0.000000,0.000065,0.021416
7.896439,0.000000,0.000065,0.021416
7.936439,0.000000,0.000066,0.021415
7.976439,0.000000,0.000067,0.021415
8.016439,0.000000,0.000067,0.021414
8.056439,0.000000,0.000068,0.021414
8.096439,0.000000,0.000069,0.021413
8.136439,0.000000,0.000070,0.021413
8.176439,0.000000,0.000070,0.021413
8.216439,0.000000,0.000071,0.021412
8.256439,0.000000,0.000072,0.021412
8.296439,0.000000,0.000072,0.021411
8.336439,0.000000,0.000073,0.021411
8.376439,0.000000,0.000074,0.021410
8.416439,0.000000,0.000074,0.021410
8.456439,0.000000,0.000075,0.021410
8.496439,0.000000,0.000076,0.021409
8.536439,0.000000,0.000076,0.021409
8.576439,0.000000,0.000077,0.021408
8.616439,0.000000,0.000078,0.021408
8.656439,0.000000,0.000078,0.021407
8.696439,0.000000,0.000079,0.021407
8.736439,0.000000,0.000080,0.021407
8.776439,0.000000,0.000080,0.021406
8.816439,0.000000,0.000081,0.021406
8.856439,0.000000,0.000082,0.021405
8.896439,0.000000,0.000082,0.021405
8.936439,0.000000,0.000083,0.021404
8.976439,0.000000,0.000084,0.021404
9.016439,0.000000,0.000085,0.021404
9.056439,0.000000,0.000085,0.021403
9.096439,0.000000,0.000086,0.021403
9.136439,0.000000,0.000087,0.021402
9.176439,0.000000,0.000087,0.021402
9.216439,0.000000,0.000088,0.021401
9.256439,0.000000,0.000089,0.021401
9.296439,0.000000,0.000089,0.021401
9.336439,0.000000,0.000090,0.021400
9.376439,0.000000,0.000091,0.021400
9.416439,0.000000,0.000091,0.021399
9.456439,0.000000,0.000092,0.021399
9.496439,0.000000,0.000093,0.021398
9.536439,0.000000,0.000093,0.021398
9.576439,0.000000,0.000094,0.021398
9.616439,0.000000,0.000095,0.021397
9.656439,0.000000,0.000096,0.021397
9.696439,0.000000,0.000096,0.021396
9.736439,0.000000,0.000097,0.021396
9.776439,0.000000,0.000098,0.021396
9.816439,0.000000,0.000098,0.021395
9.856439,0.000000,0.000099,0.021395
9.896439,0.000000,0.000100,0.021394
9.936439,0.000000,0.000100,0.021394
9.976439,0.000000,0.000101,0.021394
10.000001,1.000000,0.000101,-329.518188
10.000049,1.000000,0.000101,-319.508240
10.000525,1.000000,0.000101,-236.394638
10.003644,1.000000,0.000101,-58.489948
10.012077,1.000000,0.000102,-40.669956
10.047560,1.000000,0.000102,-40.684166
10.087560,1.000000,0.000103,-40.684883
10.127560,1.000000,0.000104,-40.684811
10.167560,1.000000,0.000104,-40.684647
10.207560,1.000000,0.000105,-40.684479
10.247560,1.000000,0.000106,-40.684307
10.287560,1.000000,0.000106,-40.684139
10.327560,1.000000,0.000107,-40.683968
10.367560,1.000000,0.000108,-40.683796
10.407560,1.000000,0.000108,-40.683624
10.447560,1.000000,0.000109,-40.683453
10.487560,1.000000,0.000110,-40.683281
10.527560,1.000000,0.000110,-40.683109
10.567560,1.000000,0.000111,-40.682938
10.607560,1.000000,0.000112,-40.682766
10.647560,1.000000,0.000112,-40.682594
10.687560,1.000000,0.000113,-40.682423
10.727560,1.000000,0.000114,-40.682251
10.767560,1.000000,0.000114,-40.682079
10.807560,1.000000,0.000115,-40.681911
10.847560,1.000000,0.000116,-40.681740
10.887560,1.000000,0.000117,-40.681568
10.927560,1.000000,0.000117,-40.681396
10.967560,1.000000,0.000118,-40.681225
11.007560,1.000000,0.000119,-40.681053
11.047560,1.000000,0.000119,-40.680882
11.087560,1.000000,0.000120,-40.680710
11.127560,1.000000,0.000121,-40.680538
11.167560,1.000000,0.000121,-40.680367
11.207560,1.000000,0.000122,-40.680195
11.247560,1.000000,0.000123,-40.680023
11.287560,1.000000,0.000123,-40.679852
11.327560,1.000000,0.000124,-40.679684
11.367560,1.000000,0.000125,-40.679512
11.407560,1.000000,0.000126,-40.679340
11.447560,1.000000,0.000126,-40.679169
11.487560,1.000000,0.000127,-40.678997
11.527560,1.000000,0.000128,-40.678825
11.567560,1.000000,0.000128,-40.678654
11.607560,1.000000,0.000129,-40.678482
11.647560,1.000000,0.000130,-40.678310
11.687560,1.000000,0.000131,-40.678139
11.727560,1.000000,0.000131,-40.677967
11.767560,1.000000,0.000132,-40.677795
11.807560,1.000000,0.000133,-40.677628
11.847560,1.000000,0.000134,-40.677456
11.887560,1.000000,0.000134,-40.677284
11.927560,1.000000,0.000135,-40.677113
11.967560,1.000000,0.000136,-40.676941
12.007560,1.000000,0.000137,-40.676769
12.047560,1.000000,0.000137,-40.676598
12.087560,1.000000,0.000138,-40.676426
12.127560,1.000000,0.000139,-40.676254
12.167560,1.000000,0.000140,-40.676083
12.207560,1.000000,0.000140,-40.675911
12.247560,1.000000,0.000141,-40.675739
12.287560,1.000000,0.000142,-40.675568
12.327560,1.000000,0.000143,-40.675400
12.367560,1.000000,0.000143,-40.675228
12.407560,1.000000,0.000144,-40.675056
12.447560,1.000000,0.000145,-40.674885
12.487560,1.000000,0.000146,-40.674713
12.527560,1.000000,0.000147,-40.674541
12.567560,1.000000,0.000147,-40.674370
12.607560,1.000000,0.000148,-40.674202
12.647560,1.000000,0.000149,-40.674030
12.687560,1.000000,0.000150,-40.673859
12.727560,1.000000,0.000151,-40.673687
12.767560,1.000000,0.000151,-40.673515
12.807560,1.000000,0.000152,-40.673344
12.847560,1.000000,0.000153,-40.673176
12.887560,1.000000,0.000154,-40.673004
12.927560,1.000000,0.000155,-40.672832
12.967560,1.000000,0.000155,-40.672661
13.007560,1.000000,0.000156,-40.672489
13.047560,1.000000,0.000157,-40.672318
13.087560,1.000000,0.000158,-40.672146
13.127560,1.000000,0.000159,-40.671974
13.167560,1.000000,0.000160,-40.671803
13.207560,1.000000,0.000161,-40.671631
13.247560,1.000000,0.000161,-40.671459
13.287560,1.000000,0.000162,-40.671288
13.327560,1.000000,0.000163,-40.671116
13.367560,1.000000,0.000164,-40.670948
13.407560,1.000000,0.000165,-40.670780
13.447560,1.000000,0.000166,-40.670609
13.487560,1.000000,0.000167,-40.670437
13.527560,1.000000,0.000168,-40.670265
13.567560,1.000000,0.000168,-40.670094
13.607560,1.000000,0.000169,-40.669922
13.647560,1.000000,0.000170,-40.669750
13.687560,1.000000,0.000171,-40.669579
13.727560,1.000000,0.000172,-40.669407
13.767560,1.000000,0.000173,-40.669235
13.807560,1.000000,0.000174,-40.669064
13.847560,1.000000,0.000175,-40.668892
13.887560,1.000000,0.000176,-40.668724
13.927560,1.000000,0.000177,-40.668552
13.967560,1.000000,0.000178,-40.668381
14.007560,1.000000,0.000178,-40.668213
14.047560,1.000000,0.000179,-40.668041
14.087560,1.000000,0.000180,-40.667870
14.127560,1.000000,0.000181,-40.667698
14.167560,1.000000,0.000182,-40.667526
14.207560,1.000000,0.000183,-40.667355
14.247560,1.000000,0.000184,-40.667183
14.287560,1.000000,0.000185,-40.667011
14.327560,1.000000,0.000186,-40.666840
14.367560,1.000000,0.000187,-40.666668
14.407560,1.000000,0.000188,-40.666500
14.447560,1.000000,0.000189,-40.666328
14.487560,1.000000,0.000190,-40.666157
14.527560,1.000000,0.000191,-40.665989
14.567560,1.000000,0.000192,-40.665817
14.607560,1.000000,0.000193,-40.665646
14.647560,1.000000,0.000194,-40.665474
14.687560,1.000000,0.000195,-40.665302
14.727560,1.000000,0.000196,-40.665131
14.767560,1.000000,0.000197,-40.664959
14.807560,1.000000,0.000198,-40.664787
14.847560,1.000000,0.000199,-40.664616
14.887560,1.000000,0.000200,-40.664444
14.927560,1.000000,0.000201,-40.664276
14.967560,1.000000,0.000202,-40.664108
15.000001,1.000000,0.000203,-40.663963
15.000091,0.000000,0.000203,270.457245
15.001314,0.000000,0.000203,107.902588
15.003940,0.000000,0.000203,14.798448
15.006482,0.000000,0.000203,2.199683
15.009043,0.000000,0.000203,0.353485
15.011754,0.000000,0.000203,0.082529
15.015341,0.000000,0.000204,0.045275
15.024041,0.000000,0.000204,0.042794
15.059876,0.000000,0.000205,0.042795
15.099876,0.000000,0.000206,0.042794
15.139876,0.000000,0.000207,0.042793
15.179876,0.000000,0.000208,0.042792
15.219876,0.000000,0.000209,0.042791
15.259876,0.000000,0.000210,0.042791
15.299876,0.000000,0.000211,0.042790
15.339876,0.000000,0.000212,0.042789
15.379876,0.000000,0.000213,0.042788
15.419876,0.000000,0.000214,0.042787
15.459876,0.000000,0.000215,0.042786
15.499876,0.000000,0.000217,0.042786
15.539876,0.000000,0.000218,0.042785
15.579876,0.000000,0.000219,0.042784
15.619876,0.000000,0.000220,0.042783
15.659876,0.000000,0.000221,0.042782
15.699876,0.000000,0.000222,0.042781
15.739876,0.000000,0.000223,0.042781
15.779876,0.000000,0.000224,0.042780
15.819876,0.000000,0.000226,0.042779
15.859876,0.000000,0.000227,0.042778
15.899876,0.000000,0.000228,0.042777
15.939876,0.000000,0.000229,0.042777
15.979876,0.000000,0.000230,0.042776
16.019876,0.000000,0.000231,0.042775
16.059876,0.000000,0.000232,0.042774
16.099876,0.000000,0.000234,0.042773
16.139876,0.000000,0.000235,0.042772
16.179876,0.000000,0.000236,0.042772
16.219876,0.000000,0.000237,0.042771
16.259876,0.000000,0.000238,0.042770
16.299876,0.000000,0.000239,0.042769
16.339876,0.000000,0.000240,0.042768
16.379876,0.000000,0.000242,0.042768
16.419876,0.000000,0.000243,0.042767
16.459876,0.000000,0.000244,0.042766
16.499876,0.000000,0.000245,0.042765
16.539876,0.000000,0.000246,0.042764
16.579876,0.000000,0.000247,0.042764
16.619876,0.000000,0.000249,0.042763
16.659876,0.000000,0.000250,0.042762
16.699876,0.000000,0.000251,0.042761
16.739876,0.000000,0.000252,0.042760
16.779876,0.000000,0.000253,0.042760
16.819876,0.000000,0.000254,0.042759
16.859876,0.000000,0.000256,0.042758
16.899876,0.000000,0.000257,0.042757
16.939876,0.000000,0.000258,0.042756
16.979876,0.000000,0.000259,0.042756
17.019876,0.000000,0.000260,0.042755
17.059876,0.000000,0.000262,0.042754
17.099876,0.000000,0.000263,0.042753
17.139876,0.000000,0.000264,0.042753
17.179876,0.000000,0.000265,0.042752
17.219876,0.000000,0.000266,0.042751
17.259876,0.000000,0.000268,0.042750
17.299876,0.000000,0.000269,0.042749
17.339876,0.000000,0.000270,0.042749
17.379876,0.000000,0.000271,0.042748
17.419876,0.000000,0.000272,0.042747
17.459876,0.000000,0.000273,0.042746
17.499876,0.000000,0.000275,0.042746
17.539876,0.000000,0.000276,0.042745
17.579876,0.000000,0.000277,0.042744
17.619876,0.000000,0.000278,0.042743
17.659876,0.000000,0.000279,0.042743
17.699876,0.000000,0.000281,0.042742
17.739876,0.000000,0.000282,0.042741
17.779876,0.000000,0.000283,0.042740
17.819876,0.000000,0.000284,0.042739
17.859876,0.000000,0.000285,0.042739
17.899876,0.000000,0.000287,0.042738
17.939876,0.000000,0.000288,0.042737
17.979876,0.000000,0.000289,0.042736
18.019876,0.000000,0.000290,0.042736
18.059876,0.000000,0.000291,0.042735
18.099876,0.000000,0.000293,0.042734
18.139876,0.000000,0.000294,0.042733
18.179876,0.000000,0.000295,0.042733
18.219876,0.000000,0.000296,0.042732
18.259876,0.000000,0.000297,0.042731
18.299876,0.000000,0.000298,0.042730
18.339876,0.000000,0.000300,0.042730
18.379876,0.000000,0.000301,0.042729
18.419876,0.000000,0.000302,0.042728
18.459876,0.000000,0.000303,0.042727
18.499876,0.000000,0.000304,0.042727
18.539876,0.000000,0.000306,0.042726
18.579876,0.000000,0.000307,0.042725
18.619876,0.000000,0.000308,0.042724
18.659876,0.000000,0.000309,0.042724
18.699876,0.000000,0.000310,0.042723
18.739876,0.000000,0.000312,0.042722
18.779876,0.000000,0.000313,0.042722
18.819876,0.000000,0.000314,0.042721
18.859876,0.000000,0.000315,0.042720
18.899876,0.000000,0.000316,0.042719
18.939876,0.000000,0.000317,0.042719
18.979876,0.000000,0.000319,0.042718
19.019876,0.000000,0.000320,0.042717
19.059876,0.000000,0.000321,0.042716
19.099876,0.000000,0.000322,0.042716
19.139876,0.000000,0.000323,0.042715
19.179876,0.000000,0.000325,0.042714
19.219876,0.000000,0.000326,0.042713
19.259876,0.000000,0.000327,0.042713
19.299876,0.000000,0.000328,0.042712
19.339876,0.000000,0.000329,0.042711
19.379876,0.000000,0.000330,0.042711
19.419876,0.000000,0.000332,0.042710
19.459876,0.000000,0.000333,0.042709
19.499876,0.000000,0.000334,0.042708
19.539876,0.000000,0.000335,0.042708
19.579876,0.000000,0.000336,0.042707
19.619876,0.000000,0.000337,0.042706
19.659876,0.000000,0.000339,0.042706
19.699876,0.000000,0.000340,0.042705
19.739876,0.000000,0.000341,0.042704
19.779876,0.000000,0.000342,0.042703
19.819876,0.000000,0.000343,0.042703
19.859876,0.000000,0.000344,0.042702
19.899876,0.000000,0.000346,0.042701
19.939876,0.000000,0.000347,0.042701
19.979876,0.000000,0.000348,0.042700
